k .      sigma_HF(k) .        dMu
0.0   -1.0548489945337052  0.6133032097049609
0.045068296501233174   -1.0545712046579236  0.6133032097049609
0.09013659300246635   -1.0537379173838288  0.6133032097049609
0.13520488950369952   -1.052349381474433  0.6133032097049609
0.1802731860049327   -1.0504060180925847  0.6133032097049609
0.22534148250616587   -1.0479084306298385  0.6133032097049609
0.27040977900739904   -1.0448574201043033  0.6133032097049609
0.3154780755086322   -1.0412539976873514  0.6133032097049609
0.3605463720098654   -1.037099414079082  0.6133032097049609
0.40561466851109856   -1.0323951877195383  0.6133032097049609
0.45068296501233174   -1.0271431292771775  0.6133032097049609
0.4957512615135649   -1.0213453850655543  0.6133032097049609
0.5408195580147981   -1.0150044790061281  0.6133032097049609
0.5858878545160313   -1.0081233577390378  0.6133032097049609
0.6309561510172644   -1.000705462651933  0.6133032097049609
0.6760244475184977   -0.9927547721585698  0.6133032097049609
0.7210927440197308   -0.9842758707657233  0.6133032097049609
0.766161040520964   -0.9752740473680959  0.6133032097049609
0.8112293370221971   -0.9657553636392737  0.6133032097049609
0.8562976335234304   -0.9557267522254558  0.6133032097049609
0.9013659300246635   -0.9451961122080553  0.6133032097049609
0.9464342265258967   -0.9341724292702874  0.6133032097049609
0.9915025230271298   -0.9226658763997958  0.6133032097049609
1.036570819528363   -0.9106879520029368  0.6133032097049609
1.0816391160295962   -0.8982515940875456  0.6133032097049609
1.1267074125308294   -0.8853713183928927  0.6133032097049609
1.1717757090320626   -0.8720633415942031  0.6133032097049609
1.2168440055332956   -0.8583457167532811  0.6133032097049609
1.2619123020345289   -0.8442384454600477  0.6133032097049609
1.306980598535762   -0.8297635903784344  0.6133032097049609
1.3520488950369953   -0.8149453542091867  0.6133032097049609
1.3971171915382283   -0.7998101441498098  0.6133032097049609
1.4421854880394616   -0.7843865951077971  0.6133032097049609
1.4872537845406948   -0.7687055508956587  0.6133032097049609
1.532322081041928   -0.7527999899258124  0.6133032097049609
1.577390377543161   -0.7367049006300237  0.6133032097049609
1.6224586740443943   -0.7204571200448274  0.6133032097049609
1.6675269705456275   -0.7040949642905923  0.6133032097049609
1.7125952670468607   -0.687658010612319  0.6133032097049609
1.7576635635480937   -0.6711867018727159  0.6133032097049609
1.802731860049327   -0.6547217653062184  0.6133032097049609
1.8478001565505602   -0.6383038612360518  0.6133032097049609
1.8928684530517934   -0.6219729893727232  0.6133032097049609
1.9379367495530266   -0.6057679772080286  0.6133032097049609
1.9830050460542596   -0.5897259618851526  0.6133032097049609
2.028073342555493   -0.5738819262792322  0.6133032097049609
2.073141639056726   -0.5582682755429511  0.6133032097049609
2.1182099355579593   -0.5429144946419079  0.6133032097049609
2.1632782320591923   -0.5278468948166676  0.6133032097049609
2.208346528560426   -0.5130884385517764  0.6133032097049609
2.253414825061659   -0.4986586536115929  0.6133032097049609
2.298483121562892   -0.48457369279140006  0.6133032097049609
2.3435514180641253   -0.47084633994264774  0.6133032097049609
2.3886197145653583   -0.4574862118506932  0.6133032097049609
2.4336880110665913   -0.44449994557922795  0.6133032097049609
2.4787563075678247   -0.4318914361929272  0.6133032097049609
2.5238246040690577   -0.4196620984268723  0.6133032097049609
2.568892900570291   -0.4078111403396168  0.6133032097049609
2.613961197071524   -0.39633583875643363  0.6133032097049609
2.659029493572757   -0.38523180827877285  0.6133032097049609
2.7040977900739906   -0.37449325760827806  0.6133032097049609
2.7491660865752237   -0.3641132287671438  0.6133032097049609
2.7942343830764567   -0.35408381640521225  0.6133032097049609
2.83930267957769   -0.3443963657251551  0.6133032097049609
2.884370976078923   -0.3350416486167409  0.6133032097049609
2.9294392725801566   -0.32601001841629035  0.6133032097049609
2.9745075690813896   -0.3172915442447842  0.6133032097049609
3.0195758655826226   -0.3088761263092532  0.6133032097049609
3.064644162083856   -0.30075359374008814  0.6133032097049609
3.109712458585089   -0.29291378666221335  0.6133032097049609
3.154780755086322   -0.28534662420866974  0.6133032097049609
3.1998490515875555   -0.27804216013828653  0.6133032097049609
3.2449173480887885   -0.2709906276289615  0.6133032097049609
3.289985644590022   -0.2641824747018006  0.6133032097049609
3.335053941091255   -0.25760839160139754  0.6133032097049609
3.380122237592488   -0.25125933132297634  0.6133032097049609
3.4251905340937214   -0.24512652434426438  0.6133032097049609
3.4702588305949544   -0.23920148849308354  0.6133032097049609
3.5153271270961874   -0.23347603476333856  0.6133032097049609
3.560395423597421   -0.2279422697837658  0.6133032097049609
3.605463720098654   -0.22259259554607172  0.6133032097049609
3.6505320165998874   -0.2174197069119088  0.6133032097049609
3.6956003131011204   -0.21241658734111898  0.6133032097049609
3.7406686096023534   -0.20757650321615487  0.6133032097049609
3.785736906103587   -0.20289299707882344  0.6133032097049609
3.83080520260482   -0.1983598800446125  0.6133032097049609
3.8758734991060533   -0.19397122361604613  0.6133032097049609
3.9209417956072863   -0.18972135107895793  0.6133032097049609
3.9660100921085193   -0.18560482863348454  0.6133032097049609
4.011078388609753   -0.18161645638430374  0.6133032097049609
4.056146685110986   -0.177751259291508  0.6133032097049609
4.101214981612219   -0.17400447816395964  0.6133032097049609
4.146283278113452   -0.17037156076052226  0.6133032097049609
4.191351574614686   -0.16684815305074774  0.6133032097049609
4.236419871115919   -0.16343009067505104  0.6133032097049609
4.281488167617152   -0.16011339063477703  0.6133032097049609
4.326556464118385   -0.1568942432345741  0.6133032097049609
4.371624760619618   -0.15376900429288728  0.6133032097049609
4.416693057120852   -0.1507341876309496  0.6133032097049609
4.461761353622085   -0.14778645784621386  0.6133032097049609
4.506829650123318   -0.14492262337255274  0.6133032097049609
